Project,SOW Pole,OneMap Pole,Match Type,Confidence,Distance (m),Verification Status
"louissep15","LAW.P.A157","LAW.P.A157","numeric_suffix",95%,,
"louissep15","LAW.P.A158","LAW.P.A158","numeric_suffix",95%,,
"louissep15","LAW.P.A159","LAW.P.A159","numeric_suffix",95%,,
"louissep15","LAW.P.A160","LAW.P.A160","numeric_suffix",95%,,
"louissep15","LAW.P.A161","LAW.P.A161","numeric_suffix",95%,,
"louissep15","LAW.P.A162","LAW.P.A162","numeric_suffix",95%,,
"louissep15","LAW.P.A163","LAW.P.A163","numeric_suffix",95%,,
"louissep15","LAW.P.A164","LAW.P.A164","numeric_suffix",95%,,
"louissep15","LAW.P.A165","LAW.P.A165","numeric_suffix",95%,,
"louissep15","LAW.P.A166","LAW.P.A166","numeric_suffix",95%,,
"louissep15","LAW.P.A167","LAW.P.A167","numeric_suffix",95%,,
"louissep15","LAW.P.A168","LAW.P.A168","numeric_suffix",95%,,
"louissep15","LAW.P.A169","LAW.P.A169","numeric_suffix",95%,,
"louissep15","LAW.P.A170","LAW.P.A170","numeric_suffix",95%,,
"louissep15","LAW.P.A171","LAW.P.A171","numeric_suffix",95%,,
"louissep15","LAW.P.A172","LAW.P.A172","numeric_suffix",95%,,
"louissep15","LAW.P.A173","LAW.P.A173","numeric_suffix",95%,,
"louissep15","LAW.P.A174","LAW.P.A174","numeric_suffix",95%,,
"louissep15","LAW.P.A175","LAW.P.A175","numeric_suffix",95%,,
"louissep15","LAW.P.A176","LAW.P.A176","numeric_suffix",95%,,
"louissep15","LAW.P.A177","LAW.P.A177","numeric_suffix",95%,,
"louissep15","LAW.P.A178","LAW.P.A178","numeric_suffix",95%,,
"louissep15","LAW.P.A179","LAW.P.A179","numeric_suffix",95%,,
"louissep15","LAW.P.A180","LAW.P.A180","numeric_suffix",95%,,
"louissep15","LAW.P.A181","LAW.P.A181","numeric_suffix",95%,,
"louissep15","LAW.P.A182","LAW.P.A182","numeric_suffix",95%,,
"louissep15","LAW.P.A183","LAW.P.A183","numeric_suffix",95%,,
"louissep15","LAW.P.A184","LAW.P.A184","numeric_suffix",95%,,
"louissep15","LAW.P.A185","LAW.P.A185","numeric_suffix",95%,,
"louissep15","LAW.P.A186","LAW.P.A186","numeric_suffix",95%,,
"louissep15","LAW.P.A187","LAW.P.A187","numeric_suffix",95%,,
"louissep15","LAW.P.A188","LAW.P.A188","numeric_suffix",95%,,
"louissep15","LAW.P.A189","LAW.P.A189","numeric_suffix",95%,,
"louissep15","LAW.P.A190","LAW.P.A190","numeric_suffix",95%,,
"louissep15","LAW.P.A191","LAW.P.A191","numeric_suffix",95%,,
"louissep15","LAW.P.A192","LAW.P.A192","numeric_suffix",95%,,
"louissep15","LAW.P.A194","LAW.P.A194","numeric_suffix",95%,,
"louissep15","LAW.P.A195","LAW.P.A195","numeric_suffix",95%,,
"louissep15","LAW.P.A196","LAW.P.A196","numeric_suffix",95%,,
"louissep15","LAW.P.A197","LAW.P.A197","numeric_suffix",95%,,
"louissep15","LAW.P.A198","LAW.P.A198","numeric_suffix",95%,,
"louissep15","LAW.P.A199","LAW.P.A199","numeric_suffix",95%,,
"louissep15","LAW.P.A200","LAW.P.A200","numeric_suffix",95%,,
"louissep15","LAW.P.A201","LAW.P.A201","numeric_suffix",95%,,
"louissep15","LAW.P.A202","LAW.P.A202","numeric_suffix",95%,,
"louissep15","LAW.P.A203","LAW.P.A203","numeric_suffix",95%,,
"louissep15","LAW.P.A204","LAW.P.A204","numeric_suffix",95%,,
"louissep15","LAW.P.A205","LAW.P.A205","numeric_suffix",95%,,
"louissep15","LAW.P.A206","LAW.P.A206","numeric_suffix",95%,,
"louissep15","LAW.P.A207","LAW.P.A207","numeric_suffix",95%,,
"louissep15","LAW.P.A208","LAW.P.A208","numeric_suffix",95%,,
"louissep15","LAW.P.A209","LAW.P.A209","numeric_suffix",95%,,
"louissep15","LAW.P.A210","LAW.P.A210","numeric_suffix",95%,,
"louissep15","LAW.P.A211","LAW.P.A211","numeric_suffix",95%,,
"louissep15","LAW.P.A212","LAW.P.A212","numeric_suffix",95%,,
"louissep15","LAW.P.A213","LAW.P.A213","numeric_suffix",95%,,
"louissep15","LAW.P.A214","LAW.P.A214","numeric_suffix",95%,,
"louissep15","LAW.P.A215","LAW.P.A215","numeric_suffix",95%,,
"louissep15","LAW.P.A216","LAW.P.A216","numeric_suffix",95%,,
"louissep15","LAW.P.A217","LAW.P.A217","numeric_suffix",95%,,
"louissep15","LAW.P.A218","LAW.P.A218","numeric_suffix",95%,,
"louissep15","LAW.P.A219","LAW.P.A219","numeric_suffix",95%,,
"louissep15","LAW.P.A220","LAW.P.A220","numeric_suffix",95%,,
"louissep15","LAW.P.A221","LAW.P.A221","numeric_suffix",95%,,
"louissep15","LAW.P.A222","LAW.P.A222","numeric_suffix",95%,,
"louissep15","LAW.P.A223","LAW.P.A223","numeric_suffix",95%,,
"louissep15","LAW.P.A224","LAW.P.A224","numeric_suffix",95%,,
"louissep15","LAW.P.A225","LAW.P.A225","numeric_suffix",95%,,
